"FID","TURN","source","target"
"72_NLP_42_B_conv.json","2","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {greet}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Client:  Hello, How are you?
Answer: ","greet"
"72_NLP_42_B_conv.json","4","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {greet; greet; request_information}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Client:  Hello, How are you?
Counselor: Hello! I'm doing well, thank you. How about you?
Client: Could my diabetes or medications be affecting my kidney health, and what should I do about the protein in my urine and fluctuating kidney readings?
Answer: ","provide_insulin_information"
"72_NLP_42_B_conv.json","6","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {greet; request_information; provide_insulin_information; request_information}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: Hello! I'm doing well, thank you. How about you?
Client: Could my diabetes or medications be affecting my kidney health, and what should I do about the protein in my urine and fluctuating kidney readings?
Counselor: Uncontrolled diabetes is the primary contributor to kidney issues, so regular blood pressure checks, urine tests for protein levels, and consistent medication are essential to prevent further damage.
Client: How important is it to take all my diabetes medications regularly, and what can I do about the side effects and cost concerns?
Answer: ","propose"
"72_NLP_42_B_conv.json","8","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {provide_insulin_information; request_information; propose; deny_to_try}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: Uncontrolled diabetes is the primary contributor to kidney issues, so regular blood pressure checks, urine tests for protein levels, and consistent medication are essential to prevent further damage.
Client: How important is it to take all my diabetes medications regularly, and what can I do about the side effects and cost concerns?
Counselor: Transitioning to insulin could potentially reduce the need for costly medications and help better control your diabetes, despite some drawbacks like weight gain and risk of hypoglycemia.
Client: I'm really hesitant about trying insulin due to those potential drawbacks.
Answer: ","logical_appeal"
"72_NLP_42_B_conv.json","10","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {propose; deny_to_try; logical_appeal; request_information}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: Transitioning to insulin could potentially reduce the need for costly medications and help better control your diabetes, despite some drawbacks like weight gain and risk of hypoglycemia.
Client: I'm really hesitant about trying insulin due to those potential drawbacks.
Counselor: While it's understandable to have concerns, managing your diabetes effectively with insulin can prevent serious complications, including further kidney damage.
Client: Can you clarify the medical instructions regarding my medications, especially why I was told not to take any medication while hospitalized?
Answer: ","provide_insulin_information"
"72_NLP_42_B_conv.json","12","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {logical_appeal; request_information; provide_insulin_information; deny_to_try}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: While it's understandable to have concerns, managing your diabetes effectively with insulin can prevent serious complications, including further kidney damage.
Client: Can you clarify the medical instructions regarding my medications, especially why I was told not to take any medication while hospitalized?
Counselor: If your diabetes isn't well-controlled with your current medications, adjustments, including possibly using insulin, are necessary to achieve better health outcomes and prevent complications.
Client: I'm still not convinced about trying insulin due to the potential drawbacks.
Answer: ","emotion_appeal"
"72_NLP_42_B_conv.json","14","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {provide_insulin_information; deny_to_try; emotion_appeal; deny_to_try}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: If your diabetes isn't well-controlled with your current medications, adjustments, including possibly using insulin, are necessary to achieve better health outcomes and prevent complications.
Client: I'm still not convinced about trying insulin due to the potential drawbacks.
Counselor: I understand your hesitation, but taking insulin can significantly reduce the risk of serious complications and improve your overall health.
Client: I still don't think insulin is the right choice for me.
Answer: ","logical_appeal"
"72_NLP_42_B_conv.json","16","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {emotion_appeal; deny_to_try; logical_appeal; deny_to_try}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: I understand your hesitation, but taking insulin can significantly reduce the risk of serious complications and improve your overall health.
Client: I still don't think insulin is the right choice for me.
Counselor: Uncontrolled diabetes is a primary contributor to kidney issues, so using insulin to better manage your blood sugar could help prevent further kidney damage.
Client: I still feel unsure about trying insulin despite the potential benefits.
Answer: ","logical_appeal"
"72_NLP_42_B_conv.json","18","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {logical_appeal; deny_to_try; logical_appeal; deny_to_try}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: Uncontrolled diabetes is a primary contributor to kidney issues, so using insulin to better manage your blood sugar could help prevent further kidney damage.
Client: I still feel unsure about trying insulin despite the potential benefits.
Counselor: By switching to insulin, you could achieve better blood sugar control and potentially save on costs compared to other expensive medications.
Client: I appreciate the information, but I'm still not comfortable with trying insulin.
Answer: ","ask_concerns"
"72_NLP_42_B_conv.json","20","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {logical_appeal; deny_to_try; ask_concerns; deny_to_try}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: By switching to insulin, you could achieve better blood sugar control and potentially save on costs compared to other expensive medications.
Client: I appreciate the information, but I'm still not comfortable with trying insulin.
Counselor: I understand your concerns; is there a specific reason or worry that makes you hesitant about trying insulin?
Client: I just don't think insulin is the right option for me at this time.
Answer: ","logical_appeal"
"06_NLP_03_B_conv.json","2","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {greet}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Client: Hello
Answer: ","greet"
"06_NLP_03_B_conv.json","4","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {greet; greet; request_information}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Client: Hello
Counselor: Hello! How are you feeling today?
Client: Is my body still producing natural insulin?
Answer: ","provide_insulin_information"
"06_NLP_03_B_conv.json","6","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {greet; request_information; provide_insulin_information; request_information}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: Hello! How are you feeling today?
Client: Is my body still producing natural insulin?
Counselor: Yes, your body still produces natural insulin, and using external insulin helps manage blood sugar levels while potentially preserving pancreatic function over time.
Client: What dosage should I start with for insulin therapy, and how will it affect my current medications?
Answer: ","provide_insulin_information"
"06_NLP_03_B_conv.json","8","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {provide_insulin_information; request_information; provide_insulin_information; request_information}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: Yes, your body still produces natural insulin, and using external insulin helps manage blood sugar levels while potentially preserving pancreatic function over time.
Client: What dosage should I start with for insulin therapy, and how will it affect my current medications?
Counselor: The correct insulin dosage can be determined by monitoring your blood sugar levels regularly and consulting with your healthcare provider, who will also assess how it interacts with your current medications.
Client: How can I effectively manage my blood sugar levels, especially with concerns about late-night snacking and potential hypoglycemia?
Answer: ","suggest_a_solution"
"06_NLP_03_B_conv.json","10","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {provide_insulin_information; request_information; suggest_a_solution; deny_to_try}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: The correct insulin dosage can be determined by monitoring your blood sugar levels regularly and consulting with your healthcare provider, who will also assess how it interacts with your current medications.
Client: How can I effectively manage my blood sugar levels, especially with concerns about late-night snacking and potential hypoglycemia?
Counselor: To manage late-night snacking and potential hypoglycemia, consider a flexible insulin regimen, regular blood glucose monitoring, and opting for low-calorie snacks.
Client: I'm still not sure about trying insulin therapy.
Answer: ","logical_appeal"
"06_NLP_03_B_conv.json","12","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {suggest_a_solution; deny_to_try; logical_appeal; deny_to_try}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: To manage late-night snacking and potential hypoglycemia, consider a flexible insulin regimen, regular blood glucose monitoring, and opting for low-calorie snacks.
Client: I'm still not sure about trying insulin therapy.
Counselor: Starting insulin therapy can help you achieve better glycemic control, manage blood sugar levels effectively, and potentially improve your pancreatic function over time.
Client: I'm still hesitant about starting insulin therapy right now.
Answer: ","emotion_appeal"
"06_NLP_03_B_conv.json","14","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {logical_appeal; deny_to_try; emotion_appeal; deny_to_try}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: Starting insulin therapy can help you achieve better glycemic control, manage blood sugar levels effectively, and potentially improve your pancreatic function over time.
Client: I'm still hesitant about starting insulin therapy right now.
Counselor: I understand your hesitation, but starting insulin could significantly improve your quality of life and prevent further complications down the road.
Client: I appreciate your advice, but I still don't feel ready to start insulin therapy at the moment.
Answer: ","ask_concerns"
"06_NLP_03_B_conv.json","16","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {emotion_appeal; deny_to_try; ask_concerns; deny_to_try}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: I understand your hesitation, but starting insulin could significantly improve your quality of life and prevent further complications down the road.
Client: I appreciate your advice, but I still don't feel ready to start insulin therapy at the moment.
Counselor: What specific concerns do you have about starting insulin therapy?
Client: I'm concerned about potential side effects and how it might change my daily routine.
Answer: ","offer_relief"
"06_NLP_03_B_conv.json","18","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {ask_concerns; deny_to_try; offer_relief; deny_to_try}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: What specific concerns do you have about starting insulin therapy?
Client: I'm concerned about potential side effects and how it might change my daily routine.
Counselor: It's natural to have concerns, but many people find that insulin therapy can be adapted to fit their lifestyle with proper guidance and support.
Client: I understand, but I still don't feel ready to start insulin therapy.
Answer: ","propose"
"06_NLP_03_B_conv.json","20","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {offer_relief; deny_to_try; propose; deny_to_try}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Counselor: It's natural to have concerns, but many people find that insulin therapy can be adapted to fit their lifestyle with proper guidance and support.
Client: I understand, but I still don't feel ready to start insulin therapy.
Counselor: How about we start with a small dose and closely monitor your progress to see how it fits into your routine?
Client: I appreciate the suggestion, but I still don't feel comfortable starting insulin therapy right now.
Answer: ","express_concern"
"07_NLP_04_A_conv.json","2","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {greet}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Client: Hello, nice to see you here
Answer: ","greet"
"07_NLP_04_A_conv.json","4","Question: What dialog act must the Counselor use from the list of acts and their definitions given below? The last few acts were {greet; greet; request_information}
List of acts are ""greet; thank; general_agreement; neutral_to_information; counter_information; chitchat; acknowledge; closing; end_conversation; request_information; provide_information; express_interest; provide_insulin_information; ask_concerns; propose; personal_related_inquiry; task_related_inquiry; logical_appeal; emotion_appeal; credibility_appeal; ask_about_consequence; ask_about_antecedent; ask_for_confirmation; suggest_a_solution; suggest_a_reason; express_concern; offer_relief; sympathize; support; amplify_excitement; motivate; compliment""?
Conversation: Client: Hello, nice to see you here
Counselor: Hello, it's great to see you too!
Client: What dietary changes should I make to help lower my hbA1c levels?
Answer: ","provide_insulin_information"
